Codice;Sigla;Descrizione Prodotto;Listino Febbraio 2026 Euro cad.;
A3BJP;BM018120;INTERR. AUTOMATICO 1 POLO - 20A/ 10kA curva B 1mod.; 	21,71 ;
A3BJQ;BM018125;INTERR. AUTOMATICO 1 POLO - 25A/ 10kA curva B 1mod.; 	22,54 ;
A3BJR;BM018132;INTERR. AUTOMATICO 1 POLO - 32A/ 10kA curva B 1mod.; 	17,89 ;
A3BJS;BM018140;INTERR. AUTOMATICO 1 POLO - 40A/ 10kA curva B 1mod.; 	39,70 ;
A3BJT;BM018150;INTERR. AUTOMATICO 1 POLO - 50A/ 10kA curva B 1mod.; 	46,82 ;
A3BJU;BM018163;INTERR. AUTOMATICO 1 POLO - 63A/ 10kA curva B 1mod.; 	49,78 ;
Interruttori Automatici Magnetotermici 10kA - curva B - 1 Polo+N - Serie BMS0;;;;
A3BKK;BM018602;INTERR. AUTOMATICO 1 POLO+N -  2A/ 10kA curva B 2 moduli; 	53,50 ;
A3BKL;BM018604;INTERR. AUTOMATICO 1 POLO+N -  4A/ 10kA curva B 2 moduli; 	44,20 ;
A3BKM;BM018606;INTERR. AUTOMATICO 1 POLO+N -  6A/ 10kA curva B 2 moduli; 	26,54 ;
A3BKN;BM018610;INTERR. AUTOMATICO 1 POLO+N - 10A/ 10kA curva B 2 moduli; 	20,93 ;
A3BKP;BM018613;INTERR. AUTOMATICO 1 POLO+N - 13A/ 10kA curva B 2 moduli; 	20,93 ;
A3BKQ;BM018616;INTERR. AUTOMATICO 1 POLO+N - 16A/ 10kA curva B 2 moduli; 	20,93 ;
A3BKR;BM018620;INTERR. AUTOMATICO 1 POLO+N - 20A/ 10kA curva B 2 moduli; 	36,80 ;
A3BKS;BM018625;INTERR. AUTOMATICO 1 POLO+N - 25A/ 10kA curva B 2 moduli; 	37,30 ;
A3BKT;BM018632;INTERR. AUTOMATICO 1 POLO+N - 32A/ 10kA curva B 2 moduli; 	37,99 ;
A3BKU;BM018640;INTERR. AUTOMATICO 1 POLO+N - 40A/ 10kA curva B 2 moduli; 	66,47 ;
A3BKV;BM018650;INTERR. AUTOMATICO 1 POLO+N - 50A/ 10kA curva B 2 moduli; 	78,75 ;
A3BKW;BM018663;INTERR. AUTOMATICO 1 POLO+N - 63A/ 10kA curva B 2 moduli; 	100,80 ;
Interruttori Automatici Magnetotermici 10kA - curva B - 2 Poli - Serie BMS0;;;;
A3BLF;BM018202ME;INTERR. AUTOMATICO 2 POLI -  2A/ 10kA curva B 2 moduli; 	41,14 ;
A3BLH;BM018204ME;INTERR. AUTOMATICO 2 POLI -  4A/ 10kA curva B 2 moduli; 	41,14 ;
A3BLJ;BM018206ME;INTERR. AUTOMATICO 2 POLI -  6A/ 10kA curva B 2 moduli; 	22,35 ;
A3BLK;BM018210ME;INTERR. AUTOMATICO 2 POLI - 10A/ 10kA curva B 2 moduli; 	19,99 ;
A3BLL;BM018213;INTERR. AUTOMATICO 2 POLI - 13A/ 10kA curva B 2 moduli; 	37,17 ;
A3BLM;BM018216ME;INTERR. AUTOMATICO 2 POLI - 16A/ 10kA curva B 2 moduli; 	21,59 ;
A3BLN;BM018220ME;INTERR. AUTOMATICO 2 POLI - 20A/ 10kA curva B 2 moduli; 	21,59 ;
A3BLP;BM018225ME;INTERR. AUTOMATICO 2 POLI - 25A/ 10kA curva B 2 moduli; 	23,31 ;
A3BLQ;BM018232ME;INTERR. AUTOMATICO 2 POLI - 32A/ 10kA curva B 2 moduli; 	23,31 ;
A3BLR;BM018240ME;INTERR. AUTOMATICO 2 POLI - 40A/ 10kA curva B 2 moduli; 	22,50 ;
A3BLS;BM018250ME;INTERR. AUTOMATICO 2 POLI - 50A/ 10kA curva B 2 moduli; 	41,14 ;
A3BLT;BM018263ME;INTERR. AUTOMATICO 2 POLI - 63A/ 10kA curva B 2 moduli; 	41,14 ;
Interruttori Automatici Magnetotermici 10kA - curva B - 3 Poli - Serie BMS0;;;;
A3BMM;BM018302;INTERR. AUTOMATICO 3 POLI -  2A/ 10kA curva B 3 moduli; 	69,32 ;
A3BMP;BM018304;INTERR. AUTOMATICO 3 POLI -  4A/ 10kA curva B 3 moduli; 	69,32 ;
A3BMQ;BM018306;INTERR. AUTOMATICO 3 POLI -  6A/ 10kA curva B 3 moduli; 	66,47 ;
A3BMR;BM018310;INTERR. AUTOMATICO 3 POLI - 10A/ 10kA curva B 3 moduli; 	59,75 ;
A3BMS;BM018313;INTERR. AUTOMATICO 3 POLI - 13A/ 10kA curva B 3 moduli; 	55,94 ;
A3BMT;BM018316;INTERR. AUTOMATICO 3 POLI - 16A/ 10kA curva B 3 moduli; 	55,94 ;
A3BMU;BM018320;INTERR. AUTOMATICO 3 POLI - 20A/ 10kA curva B 3 moduli; 	66,28 ;
A3BMV;BM018325;INTERR. AUTOMATICO 3 POLI - 25A/ 10kA curva B 3 moduli; 	66,28 ;
